City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
288,satna,24.5833,80.8333,25.69,79,100,4.03,IN,1691637532
289,juneau,58.3019,-134.4197,15.12,98,100,4.63,US,1691637532
290,bamboo flat,11.7,92.7167,30.05,79,40,5.14,IN,1691637178
291,chacabuco,-34.6417,-60.4739,12.68,70,100,3.13,AR,1691637532
292,nogliki,51.8333,143.1667,14.95,82,100,4.54,RU,1691637532
293,kholmsk,47.0511,142.0569,15.14,95,100,2.51,RU,1691637532
294,tefe,-3.3542,-64.7114,26.47,61,33,0.46,BR,1691637532
295,dor marunt,44.45,26.9167,17.59,74,100,2.41,RO,1691637532
296,gadzhiyevo,69.2551,33.3362,17.89,77,0,3.53,RU,1691637431
297,jose panganiban,14.2906,122.6917,33.42,55,95,2.97,PH,1691637533
298,amaigbo,5.7892,7.8383,21.97,98,97,1.37,NG,1691637533
299,thompson,55.7435,-97.8558,12.09,87,20,1.03,CA,1691637420
300,joao camara,-5.5375,-35.8197,20.86,85,40,4.55,BR,1691637533
301,san angelo,31.4638,-100.437,36.61,30,0,3.09,US,1691637275
302,moab,38.5733,-109.5498,30.03,13,100,3.76,US,1691637533
303,swiecie,53.4095,18.4474,13.66,89,88,2.24,PL,1691637533
304,khorixas,-20.3667,14.9667,17.67,43,68,0.74,NA,1691637533
305,nizhneangarsk,55.7833,109.55,12.83,99,100,2.04,RU,1691637533
306,arteche,12.2645,125.4048,31.14,69,100,1.86,PH,1691637164
307,labasa,-16.4167,179.3833,26.48,77,88,1.34,FJ,1691637534
308,singaparna,-7.3515,108.111,25.87,64,78,2.08,ID,1691637534
309,karaundi,26.8974,68.4068,31.99,57,13,3.57,PK,1691637534
310,zakamensk,50.3741,103.2863,16.25,97,100,1.41,RU,1691637534
311,terme,41.2092,36.9739,20.96,88,100,2.93,TR,1691637534
312,sechura,-5.5569,-80.8222,22.12,77,9,5.89,PE,1691637534
313,sao gabriel da cachoeira,-0.1303,-67.0892,23.44,91,64,0.38,BR,1691637466
314,totness,5.8833,-56.3167,26.8,85,23,5.91,SR,1691637534
315,olyokminsk,60.3736,120.4264,29.36,42,6,1.88,RU,1691637534
316,likiep,9.8251,169.3107,28.17,71,100,4.59,MH,1691637534
317,voznesenskaya,44.5527,41.0318,22.19,79,57,2.48,RU,1691637534
318,liperi,62.5333,29.3667,16.26,94,40,1.54,FI,1691637534
319,tyukhtet,56.5389,89.3011,19.61,64,49,2.89,RU,1691637168
320,beberibe,-4.1797,-38.1306,24.77,84,59,5.23,BR,1691637535
321,itaqui,-29.1253,-56.5531,13.92,97,45,2.03,BR,1691637535
322,puerto lempira,15.2667,-83.7667,26.8,84,59,3.05,HN,1691637462
323,kitimat,54.0524,-128.6534,16.06,68,100,1.79,CA,1691637535
324,henderson,36.0397,-114.9819,36.57,21,0,8.23,US,1691637535
